Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/orders/async,3222,0,47,62.48175172937134,36.06262500397861,491.1865000030957,223.66759776536313,54.474466257919076,0.0,47,52,70,86,110,120,130,180,330,490,490
,Aggregated,3222,0,47,62.48175172937134,36.06262500397861,491.1865000030957,223.66759776536313,54.474466257919076,0.0,47,52,70,86,110,120,130,180,330,490,490
