Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/orders/sync,29,20,30000.0,25419.252007174033,3114.24091598019,30079.232583986595,69.79310344827586,0.5037165671314708,0.34739073595273856,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
,Aggregated,29,20,30000.0,25419.252007174033,3114.24091598019,30079.232583986595,69.79310344827586,0.5037165671314708,0.34739073595273856,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
