Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/orders/async,3224,0,47,60.393425997769256,35.676667001098394,235.08291697362438,223.647952853598,54.546979640703995,0.0,47,51,67,84,110,120,130,130,170,240,240
,Aggregated,3224,0,47,60.393425997769256,35.676667001098394,235.08291697362438,223.647952853598,54.546979640703995,0.0,47,51,67,84,110,120,130,130,170,240,240
