Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/orders/sync,9,0,12000.0,10530.389861113184,3181.8390000262298,14960.033749986906,224.55555555555554,0.3318163675349629,0.0,12000,14000,15000,15000,15000,15000,15000,15000,15000,15000,15000
,Aggregated,9,0,12000.0,10530.389861113184,3181.8390000262298,14960.033749986906,224.55555555555554,0.3318163675349629,0.0,12000,14000,15000,15000,15000,15000,15000,15000,15000,15000,15000
