timestamp,type,key,latency_ms,version,stale
2026-04-03T16:33:06.63292-04:00,read,key0,6.938,15,false
2026-04-03T16:33:06.633833-04:00,read,key1,6.085,26,false
2026-04-03T16:33:06.633317-04:00,read,key6,6.646,24,false
2026-04-03T16:33:06.63379-04:00,read,key1,6.179,26,false
2026-04-03T16:33:06.632987-04:00,read,key7,7.205,27,false
2026-04-03T16:33:06.632924-04:00,read,key5,8.459,23,false
2026-04-03T16:33:06.633763-04:00,read,key6,7.651,24,false
2026-04-03T16:33:06.633764-04:00,read,key4,7.742,26,false
2026-04-03T16:33:06.633725-04:00,read,key2,7.812,38,false
2026-04-03T16:33:06.639978-04:00,read,key4,1.606,26,false
2026-04-03T16:33:06.641393-04:00,read,key5,1.452,23,false
2026-04-03T16:33:06.639889-04:00,read,key2,2.992,38,false
2026-04-03T16:33:06.641419-04:00,read,key0,1.515,15,false
2026-04-03T16:33:06.641511-04:00,read,key8,1.493,11,false
2026-04-03T16:33:06.640205-04:00,read,key5,2.805,23,false
2026-04-03T16:33:06.641542-04:00,read,key0,1.491,15,false
2026-04-03T16:33:06.642888-04:00,read,key6,1.426,24,false
2026-04-03T16:33:06.643014-04:00,read,key1,1.326,26,false
2026-04-03T16:33:06.641589-04:00,read,key4,2.745,26,false
2026-04-03T16:33:06.643018-04:00,read,key5,1.405,23,false
2026-04-03T16:33:06.643036-04:00,read,key3,1.444,26,false
2026-04-03T16:33:06.642861-04:00,read,key3,1.630,26,false
2026-04-03T16:33:06.644351-04:00,read,key5,1.383,23,false
2026-04-03T16:33:06.644497-04:00,read,key4,1.260,26,false
2026-04-03T16:33:06.644337-04:00,read,key1,1.507,26,false
2026-04-03T16:33:06.644358-04:00,read,key4,1.585,26,false
2026-04-03T16:33:06.644486-04:00,read,key9,1.507,24,false
2026-04-03T16:33:06.645747-04:00,read,key0,1.608,15,false
2026-04-03T16:33:06.645949-04:00,read,key7,1.415,27,false
2026-04-03T16:33:06.645763-04:00,read,key9,1.603,24,false
2026-04-03T16:33:06.645861-04:00,read,key8,1.510,11,false
2026-04-03T16:33:06.646-04:00,read,key2,1.390,38,false
2026-04-03T16:33:06.647377-04:00,read,key9,1.071,23,false
2026-04-03T16:33:06.647365-04:00,read,key0,1.089,15,false
2026-04-03T16:33:06.647371-04:00,read,key5,1.124,23,false
2026-04-03T16:33:06.648455-04:00,read,key4,0.720,26,false
2026-04-03T16:33:06.648461-04:00,read,key3,0.728,26,false
2026-04-03T16:33:06.647397-04:00,read,key6,1.794,24,false
2026-04-03T16:33:06.649201-04:00,read,key2,0.755,38,false
2026-04-03T16:33:06.649203-04:00,read,key7,0.990,27,false
2026-04-03T16:33:06.648501-04:00,read,key4,1.764,26,false
2026-04-03T16:33:06.649182-04:00,read,key7,1.117,27,false
2026-04-03T16:33:06.64997-04:00,read,key0,0.575,15,false
2026-04-03T16:33:06.6502-04:00,read,key9,0.621,24,false
2026-04-03T16:33:06.650305-04:00,read,key5,0.533,23,false
2026-04-03T16:33:06.650271-04:00,read,key3,0.573,26,false
2026-04-03T16:33:06.650551-04:00,read,key8,0.507,11,false
2026-04-03T16:33:06.65085-04:00,read,key0,0.474,15,false
2026-04-03T16:33:06.650845-04:00,read,key5,0.486,23,false
2026-04-03T16:33:06.650827-04:00,read,key9,0.508,23,false
2026-04-03T16:33:06.651063-04:00,read,key1,0.613,26,false
2026-04-03T16:33:06.651331-04:00,read,key4,0.722,26,false
2026-04-03T16:33:06.651348-04:00,read,key7,0.718,27,false
2026-04-03T16:33:06.652073-04:00,read,key5,0.507,23,false
2026-04-03T16:33:06.652059-04:00,read,key7,0.538,27,false
2026-04-03T16:33:06.651682-04:00,read,key9,1.319,24,false
2026-04-03T16:33:06.653014-04:00,read,key3,0.629,26,false
2026-04-03T16:33:06.653655-04:00,read,key5,0.414,23,false
2026-04-03T16:33:06.654074-04:00,read,key3,0.552,26,false
2026-04-03T16:33:06.65463-04:00,read,key3,0.236,26,false
2026-04-03T16:33:06.65487-04:00,read,key1,0.174,26,false
2026-04-03T16:33:06.633567-04:00,write,key5,1230.024,24,false
2026-04-03T16:33:06.639989-04:00,write,key6,1223.601,25,false
2026-04-03T16:33:06.642942-04:00,write,key7,1220.649,28,false
2026-04-03T16:33:06.639941-04:00,write,key1,1223.649,27,false
2026-04-03T16:33:07.863715-04:00,read,key0,2.489,16,false
2026-04-03T16:33:07.86371-04:00,read,key8,2.527,11,false
2026-04-03T16:33:07.863766-04:00,read,key8,2.472,11,false
2026-04-03T16:33:07.866255-04:00,read,key1,1.417,27,false
2026-04-03T16:33:07.866273-04:00,read,key6,1.455,27,false
2026-04-03T16:33:07.866238-04:00,read,key5,1.578,24,false
2026-04-03T16:33:06.655049-04:00,write,key6,1213.364,27,false
2026-04-03T16:33:06.644431-04:00,write,key6,1224.326,26,false
2026-04-03T16:33:06.647379-04:00,write,key7,1221.435,29,false
2026-04-03T16:33:06.652608-04:00,write,key4,1216.234,27,false
2026-04-03T16:33:06.652595-04:00,write,key7,1216.257,30,false
2026-04-03T16:33:06.651339-04:00,write,key0,1217.737,16,false
2026-04-03T16:33:07.867837-04:00,read,key5,2.251,24,false
2026-04-03T16:33:07.86377-04:00,read,key8,6.552,11,false
2026-04-03T16:33:07.8677-04:00,read,key8,3.832,11,false
2026-04-03T16:33:07.867764-04:00,read,key4,4.807,27,false
2026-04-03T16:33:07.868786-04:00,read,key1,16.178,27,false
2026-04-03T16:33:07.872587-04:00,read,key1,12.418,27,false
2026-04-03T16:33:07.868474-04:00,read,key4,16.593,27,false
2026-04-03T16:33:07.869113-04:00,read,key3,16.214,26,false
2026-04-03T16:33:07.870108-04:00,read,key7,16.869,30,false
2026-04-03T16:33:07.885025-04:00,read,key2,1.984,38,false
2026-04-03T16:33:07.868878-04:00,read,key0,18.138,16,false
2026-04-03T16:33:07.885026-04:00,read,key4,2.059,27,false
2026-04-03T16:33:07.86887-04:00,read,key6,18.214,27,false
2026-04-03T16:33:07.885341-04:00,read,key0,1.751,16,false
2026-04-03T16:33:07.871575-04:00,read,key2,15.566,38,false
2026-04-03T16:33:07.870362-04:00,read,key8,16.778,11,false
2026-04-03T16:33:07.88513-04:00,read,key6,2.011,27,false
2026-04-03T16:33:07.887102-04:00,read,key3,0.493,26,false
2026-04-03T16:33:07.887025-04:00,read,key9,0.812,24,false
2026-04-03T16:33:07.887025-04:00,read,key0,0.836,16,false
2026-04-03T16:33:07.887037-04:00,read,key7,0.838,30,false
2026-04-03T16:33:07.887102-04:00,read,key1,1.072,27,false
2026-04-03T16:33:07.887149-04:00,read,key4,1.037,27,false
2026-04-03T16:33:07.887889-04:00,read,key6,0.717,27,false
2026-04-03T16:33:07.887149-04:00,read,key6,1.580,27,false
2026-04-03T16:33:07.888192-04:00,read,key3,1.157,26,false
2026-04-03T16:33:07.888739-04:00,read,key2,0.648,38,false
2026-04-03T16:33:07.888196-04:00,read,key4,1.208,27,false
2026-04-03T16:33:07.888615-04:00,read,key8,0.933,11,false
2026-04-03T16:33:07.889365-04:00,read,key9,0.514,24,false
2026-04-03T16:33:07.887153-04:00,read,key2,2.743,38,false
2026-04-03T16:33:07.887845-04:00,read,key5,2.099,24,false
2026-04-03T16:33:07.887879-04:00,read,key0,2.079,16,false
2026-04-03T16:33:07.889559-04:00,read,key9,0.433,24,false
2026-04-03T16:33:07.887091-04:00,read,key4,2.905,27,false
2026-04-03T16:33:07.889396-04:00,read,key6,0.836,27,false
2026-04-03T16:33:07.887615-04:00,read,key5,2.632,24,false
2026-04-03T16:33:07.889413-04:00,read,key2,0.834,38,false
2026-04-03T16:33:07.889998-04:00,read,key0,0.613,16,false
2026-04-03T16:33:07.889952-04:00,read,key1,0.973,27,false
2026-04-03T16:33:07.88989-04:00,read,key7,1.033,30,false
2026-04-03T16:33:07.889964-04:00,read,key6,1.009,27,false
2026-04-03T16:33:07.890255-04:00,read,key0,0.728,16,false
2026-04-03T16:33:07.890003-04:00,read,key8,1.000,11,false
2026-04-03T16:33:07.889917-04:00,read,key8,1.052,11,false
2026-04-03T16:33:07.890938-04:00,read,key6,0.610,27,false
2026-04-03T16:33:07.890267-04:00,read,key1,1.317,27,false
2026-04-03T16:33:07.890992-04:00,read,key3,0.596,26,false
2026-04-03T16:33:07.890629-04:00,read,key0,0.966,16,false
2026-04-03T16:33:07.891019-04:00,read,key7,0.603,30,false
2026-04-03T16:33:07.89098-04:00,read,key4,0.847,27,false
2026-04-03T16:33:07.891598-04:00,read,key0,0.619,16,false
2026-04-03T16:33:07.891607-04:00,read,key3,0.608,26,false
2026-04-03T16:33:07.891592-04:00,read,key6,0.674,27,false
2026-04-03T16:33:07.891628-04:00,read,key3,0.650,26,false
2026-04-03T16:33:07.890239-04:00,read,key6,2.048,27,false
2026-04-03T16:33:07.891569-04:00,read,key9,0.731,23,false
2026-04-03T16:33:07.892273-04:00,read,key9,0.542,23,false
2026-04-03T16:33:07.892262-04:00,read,key7,0.595,30,false
2026-04-03T16:33:07.892228-04:00,read,key9,0.633,24,false
2026-04-03T16:33:07.89101-04:00,read,key4,1.919,27,false
2026-04-03T16:33:07.892293-04:00,read,key3,0.640,26,false
2026-04-03T16:33:07.892286-04:00,read,key9,0.675,24,false
2026-04-03T16:33:07.891836-04:00,read,key3,1.138,26,false
2026-04-03T16:33:07.892868-04:00,read,key7,0.570,30,false
2026-04-03T16:33:07.892981-04:00,read,key9,0.512,23,false
2026-04-03T16:33:07.892967-04:00,read,key8,0.528,11,false
2026-04-03T16:33:07.892864-04:00,read,key1,0.667,27,false
2026-04-03T16:33:07.892826-04:00,read,key2,0.708,38,false
2026-04-03T16:33:07.89295-04:00,read,key1,0.594,27,false
2026-04-03T16:33:07.892937-04:00,read,key5,0.636,24,false
2026-04-03T16:33:07.892308-04:00,read,key4,1.477,27,false
2026-04-03T16:33:07.893503-04:00,read,key9,0.466,24,false
2026-04-03T16:33:07.8935-04:00,read,key3,0.593,26,false
2026-04-03T16:33:07.893566-04:00,read,key6,1.126,27,false
2026-04-03T16:33:07.893456-04:00,read,key4,1.440,27,false
2026-04-03T16:33:07.89358-04:00,read,key6,1.349,27,false
2026-04-03T16:33:07.893542-04:00,read,key7,1.596,30,false
2026-04-03T16:33:07.893796-04:00,read,key2,1.386,38,false
2026-04-03T16:33:07.893975-04:00,read,key0,1.247,16,false
2026-04-03T16:33:07.894712-04:00,read,key6,0.580,27,false
2026-04-03T16:33:07.894943-04:00,read,key2,0.576,38,false
2026-04-03T16:33:07.894904-04:00,read,key3,0.657,26,false
2026-04-03T16:33:07.895199-04:00,read,key7,0.421,30,false
2026-04-03T16:33:07.895147-04:00,read,key0,0.554,16,false
2026-04-03T16:33:07.895306-04:00,read,key8,0.540,11,false
2026-04-03T16:33:07.895228-04:00,read,key3,0.969,26,false
2026-04-03T16:33:07.895707-04:00,read,key6,0.615,27,false
2026-04-03T16:33:07.895883-04:00,read,key3,0.658,26,false
2026-04-03T16:33:07.895528-04:00,read,key7,1.033,30,false
2026-04-03T16:33:07.896207-04:00,read,key5,0.732,24,false
2026-04-03T16:33:07.896344-04:00,read,key3,0.740,26,false
2026-04-03T16:33:07.89659-04:00,read,key2,0.504,38,false
2026-04-03T16:33:07.897101-04:00,read,key8,0.384,11,false
2026-04-03T16:33:07.896949-04:00,read,key5,0.535,24,false
2026-04-03T16:33:07.897093-04:00,read,key8,0.585,11,false
2026-04-03T16:33:07.896558-04:00,read,key3,1.193,26,false
2026-04-03T16:33:07.897494-04:00,read,key2,0.316,38,false
2026-04-03T16:33:07.897493-04:00,read,key3,0.347,26,false
2026-04-03T16:33:07.897685-04:00,read,key4,0.304,27,false
2026-04-03T16:33:07.897816-04:00,read,key0,0.283,16,false
2026-04-03T16:33:07.897761-04:00,read,key2,0.357,38,false
2026-04-03T16:33:07.897996-04:00,read,key2,0.356,38,false
2026-04-03T16:33:07.89813-04:00,read,key3,0.449,26,false
2026-04-03T16:33:07.898123-04:00,read,key4,0.463,27,false
2026-04-03T16:33:07.898359-04:00,read,key8,0.529,11,false
2026-04-03T16:33:07.898586-04:00,read,key2,0.387,38,false
2026-04-03T16:33:07.898593-04:00,read,key7,0.481,30,false
2026-04-03T16:33:07.89898-04:00,read,key3,0.419,26,false
2026-04-03T16:33:07.899081-04:00,read,key6,0.436,27,false
2026-04-03T16:33:07.899408-04:00,read,key3,0.263,26,false
2026-04-03T16:33:07.899686-04:00,read,key1,0.295,27,false
2026-04-03T16:33:07.89999-04:00,read,key5,0.390,24,false
2026-04-03T16:33:07.900389-04:00,read,key4,0.295,27,false
2026-04-03T16:33:07.900692-04:00,read,key1,0.226,27,false
2026-04-03T16:33:07.900925-04:00,read,key6,0.237,27,false
2026-04-03T16:33:07.90117-04:00,read,key6,0.306,27,false
2026-04-03T16:33:07.901484-04:00,read,key3,0.240,26,false
2026-04-03T16:33:07.901731-04:00,read,key0,0.258,16,false
2026-04-03T16:33:07.901997-04:00,read,key9,0.241,24,false
2026-04-03T16:33:07.902247-04:00,read,key4,0.250,27,false
2026-04-03T16:33:07.902504-04:00,read,key7,0.227,30,false
2026-04-03T16:33:07.902738-04:00,read,key6,0.230,27,false
2026-04-03T16:33:07.902976-04:00,read,key1,0.492,27,false
2026-04-03T16:33:07.903478-04:00,read,key3,0.258,26,false
2026-04-03T16:33:07.903745-04:00,read,key5,0.225,24,false
2026-04-03T16:33:07.903978-04:00,read,key1,0.266,27,false
2026-04-03T16:33:07.904256-04:00,read,key8,0.268,11,false
2026-04-03T16:33:07.904533-04:00,read,key8,0.241,11,false
2026-04-03T16:33:07.904785-04:00,read,key0,0.246,16,false
2026-04-03T16:33:07.90504-04:00,read,key4,0.286,27,false
2026-04-03T16:33:07.905334-04:00,read,key7,0.238,30,false
2026-04-03T16:33:07.905581-04:00,read,key0,0.242,16,false
